organism,drug_code,week,type,mean_deviate
E. coli,AMP,43,Actual mean MIC seasonal deviate,0.02610604666114951
E. coli,AMP,43,Predicted mean MIC seasonal deviate,-9.242732278023865e-4
E. coli,AMP,44,Actual mean MIC seasonal deviate,0.055707951195520584
E. coli,AMP,44,Predicted mean MIC seasonal deviate,0.006436044204149
E. coli,AMP,45,Actual mean MIC seasonal deviate,0.004777838344091441
E. coli,AMP,45,Predicted mean MIC seasonal deviate,7.168734022783808e-4
E. coli,AMP,46,Actual mean MIC seasonal deviate,0.057091691292407536
E. coli,AMP,46,Predicted mean MIC seasonal deviate,-0.0029113750354281616
E. coli,AMP,47,Actual mean MIC seasonal deviate,0.06783353921222061
E. coli,AMP,47,Predicted mean MIC seasonal deviate,-7.033370642940066e-5
E. coli,AMP,48,Actual mean MIC seasonal deviate,-0.07051087562046096
E. coli,AMP,48,Predicted mean MIC seasonal deviate,0.00413550918582197
E. coli,AMP,49,Actual mean MIC seasonal deviate,-0.021285559629226142
E. coli,AMP,49,Predicted mean MIC seasonal deviate,3.734132557209977e-4
E. coli,AMP,50,Actual mean MIC seasonal deviate,0.05715245270433941
E. coli,AMP,50,Predicted mean MIC seasonal deviate,-6.103058939797597e-4
E. coli,AMP,51,Actual mean MIC seasonal deviate,0.0760630631465088
E. coli,AMP,51,Predicted mean MIC seasonal deviate,2.903660869675278e-4
E. coli,AMP,52,Actual mean MIC seasonal deviate,0.002595055552000217
E. coli,AMP,52,Predicted mean MIC seasonal deviate,0.013163835438203196
E. coli,CIP,1,Actual mean MIC seasonal deviate,-0.010134783932746153
E. coli,CIP,1,Predicted mean MIC seasonal deviate,-0.012049166621007967
E. coli,CIP,2,Actual mean MIC seasonal deviate,0.036910221200673596
E. coli,CIP,2,Predicted mean MIC seasonal deviate,-0.009599475544270368
E. coli,CIP,3,Actual mean MIC seasonal deviate,0.01581455616279583
E. coli,CIP,3,Predicted mean MIC seasonal deviate,0.004822403355340441
E. coli,CIP,4,Actual mean MIC seasonal deviate,0.04343920866561847
E. coli,CIP,4,Predicted mean MIC seasonal deviate,-0.012500663187073359
E. coli,CIP,5,Actual mean MIC seasonal deviate,0.016075000423801885
E. coli,CIP,5,Predicted mean MIC seasonal deviate,-0.019791733598451492
E. coli,CIP,6,Actual mean MIC seasonal deviate,0.036352714462281686
E. coli,CIP,6,Predicted mean MIC seasonal deviate,2.355432432750319e-4
E. coli,CIP,7,Actual mean MIC seasonal deviate,0.07638893322561315
E. coli,CIP,7,Predicted mean MIC seasonal deviate,-0.009266582465911015
E. coli,CIP,8,Actual mean MIC seasonal deviate,6.818320392372136e-4
E. coli,CIP,8,Predicted mean MIC seasonal deviate,-0.01695588130915141
E. coli,CIP,9,Actual mean MIC seasonal deviate,0.03739006373914247
E. coli,CIP,9,Predicted mean MIC seasonal deviate,-0.013927783082809638
E. coli,CIP,10,Actual mean MIC seasonal deviate,0.08398726348605189
E. coli,CIP,10,Predicted mean MIC seasonal deviate,-0.014405174742693169
E. coli,CIP,11,Actual mean MIC seasonal deviate,0.0195769075341457
E. coli,CIP,11,Predicted mean MIC seasonal deviate,0.010273495276086819
E. coli,CIP,12,Actual mean MIC seasonal deviate,0.0691418328503666
E. coli,CIP,12,Predicted mean MIC seasonal deviate,-0.007045063566529062
E. coli,CIP,13,Actual mean MIC seasonal deviate,0.07415607598815195
E. coli,CIP,13,Predicted mean MIC seasonal deviate,0.006729653986374838
E. coli,CIP,14,Actual mean MIC seasonal deviate,0.0283978514261539
E. coli,CIP,14,Predicted mean MIC seasonal deviate,-0.009595406629414712
